"X","id","title","type","description","release_year","age_certification","runtime","production_countries","seasons","imdb_id","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","drama","sport","war","animation","family","action","western","european","reality","thriller","crime","comedy","documentation","fantasy","scifi","romance","horror","history","music"
0,"ts300399","Five Came Back: The Reference Films","SHOW","This collection includes 12 World War II-era propaganda films — many of which are graphic and offensive — discussed in the docuseries ""Five Came Back.""",1945,"TV-MA",51,"['US']",1,"",NA,NA,0.6,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,"ts22164","Monty Python's Flying Circus","SHOW","A British sketch comedy series with the shows being composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines.",1969,"TV-14",30,"['GB']",4,"tt0063929",8.8,73424,17.617,8.306,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
26,"ts45948","Monty Python's Fliegender Zirkus","SHOW","Monty Python's Fliegender Zirkus consisted of two 45-minute Monty Python German television comedy specials produced by WDR for West German television. The two episodes were first broadcast in January and December 1972 and were shot entirely on film and mostly on location in Bavaria, with the first episode recorded in German and the second recorded in English and then dubbed into German.",1972,"TV-MA",43,"[]",1,"tt0202477",8.1,2151,1.487,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,"ts20681","Seinfeld","SHOW","A stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in New York City in the '90s. It's a show about nothing.",1989,"TV-PG",24,"['US']",9,"tt0098904",8.9,308824,130.213,8.301,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,"ts22082","Knight Rider","SHOW","Michael Long, an undercover police officer, is shot while investigating a case and left for dead by his assailants. He is rescued by Wilton Knight, a wealthy, dying millionaire and inventor who arranges life-saving surgery, including a new face and a new identity--that of Michael Knight. Michael is then given a special computerized and indestructible car called the Knight Industries Two Thousand (nicknamed KITT), and a mission: apprehend criminals who are beyond the reach of the law. The series depicts Michael's exploits as he and KITT battle the forces of evil on behalf of the Foundation for Law and Government.",1982,"TV-PG",51,"['US']",4,"tt0083437",6.9,34115,50.267,7.5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
45,"ts21715","Thomas & Friends","SHOW","Thomas & Friends is a British children's television series, which had its first broadcast on the ITV network on 4 September 1984. It is based on The Railway Series of books by the Reverend Wilbert Awdry and his son, Christopher Awdry. These books deal with the adventures of a group of anthropomorphised locomotives and road vehicles who live on the fictional Island of Sodor. The books were based on stories Wilbert told to entertain his son, Christopher during his recovery from measles. From Series one to four, many of the stories are based on events from Awdry's personal experience.",1984,"TV-Y",10,"['GB']",24,"tt0086815",6.5,5104,42.196,6.5,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1
46,"ts20678","Saved by the Bell","SHOW","Lovable schemer Zack Morris leads his pals on adventures at California's Bayside High School. The friends navigate relationships, final exams, school dances, breakups and more while frequently frustrating their principal, Mr. Richard Belding, who does his best to keep them in check.",1989,"TV-G",23,"['US']",5,"tt0096694",7.1,35034,19.855,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
48,"ts25028","Wheel of Fortune","SHOW","This game show sees contestants solve word puzzles, similar to those used in Hangman, to win cash and prizes determined by spinning a giant carnival wheel.",1983,"TV-G",26,"['US']",39,"tt0072584",6.7,3145,5.935,6.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,"ts23753","Major Dad","SHOW","Major Dad is an American sitcom created by Richard C. Okie and John G. Stephens, developed by Earl Pomerantz, that originally ran from 1989 to 1993 on CBS, starring Gerald McRaney as Major John D. MacGillis and Shanna Reed as his wife Polly. The cast also includes Beverly Archer, Matt Mulhern, Jon Cypher, Marisa Ryan, Nicole Dubuc and Chelsea Hertford.",1989,"TV-PG",24,"['US']",4,"tt0096643",6.5,2922,9.849,6.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,"ts987","Danger Mouse","SHOW","Danger Mouse, the world's greatest secret agent, and his side-kick Penfold work to foil the evil schemes of Baron Greenback.",1981,"TV-Y",14,"['GB']",10,"tt0081848",7.4,3545,8.55,7.5,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
